,symbol,name
285,LW,Lamb Weston
286,LVS,Las Vegas Sands
287,LDOS,Leidos
288,LEN,Lennar
289,LIN,Linde plc
290,LYV,Live Nation Entertainment
291,LKQ,LKQ Corporation
292,LMT,Lockheed Martin
293,L,Loews Corporation
294,LOW,Lowe's
295,LULU,Lululemon Athletica
296,LYB,LyondellBasell
297,MTB,M&T Bank
298,MRO,Marathon Oil
299,MPC,Marathon Petroleum
300,MKTX,MarketAxess
301,MAR,Marriott International
302,MMC,Marsh McLennan
303,MLM,Martin Marietta Materials
304,MAS,Masco
305,MA,Mastercard
306,MTCH,Match Group
307,MKC,McCormick & Company
308,MCD,McDonald's
309,MCK,McKesson
310,MDT,Medtronic
311,MRK,Merck & Co.
312,META,Meta Platforms
313,MET,MetLife
314,MTD,Mettler Toledo
315,MGM,MGM Resorts
316,MCHP,Microchip Technology
317,MU,Micron Technology
318,MSFT,Microsoft
319,MAA,Mid-America Apartment Communities
320,MRNA,Moderna
321,MHK,Mohawk Industries
322,MOH,Molina Healthcare
323,TAP,Molson Coors Beverage Company
324,MDLZ,Mondelez International
325,MPWR,Monolithic Power Systems
326,MNST,Monster Beverage
327,MCO,Moody's Corporation
328,MS,Morgan Stanley
329,MOS,Mosaic Company (The)
330,MSI,Motorola Solutions
331,MSCI,MSCI
332,NDAQ,"Nasdaq, Inc."
333,NTAP,NetApp
334,NFLX,Netflix
335,NEM,Newmont
336,NWSA,News Corp (Class A)
337,NWS,News Corp (Class B)
338,NEE,NextEra Energy
339,NKE,"Nike, Inc."
340,NI,NiSource
341,NDSN,Nordson Corporation
342,NSC,Norfolk Southern Railway
343,NTRS,Northern Trust
344,NOC,Northrop Grumman
345,NCLH,Norwegian Cruise Line Holdings
346,NRG,NRG Energy
347,NUE,Nucor
348,NVDA,Nvidia
349,NVR,"NVR, Inc."
350,NXPI,NXP Semiconductors
351,ORLY,O'Reilly Auto Parts
352,OXY,Occidental Petroleum
353,ODFL,Old Dominion
354,OMC,Omnicom Group
355,ON,ON Semiconductor
356,OKE,ONEOK
357,ORCL,Oracle Corporation
358,OTIS,Otis Worldwide
359,PCAR,Paccar
360,PKG,Packaging Corporation of America
361,PANW,Palo Alto Networks
362,PARA,Paramount Global
363,PH,Parker Hannifin
364,PAYX,Paychex
365,PAYC,Paycom
366,PYPL,PayPal
367,PNR,Pentair
368,PEP,PepsiCo
369,PFE,Pfizer
370,PCG,PG&E Corporation
371,PM,Philip Morris International
372,PSX,Phillips 66
373,PNW,Pinnacle West
374,PXD,Pioneer Natural Resources
375,PNC,PNC Financial Services
376,POOL,Pool Corporation
377,PPG,PPG Industries
378,PPL,PPL Corporation
379,PFG,Principal Financial Group
380,PG,Procter & Gamble
381,PGR,Progressive Corporation
382,PLD,Prologis
383,PRU,Prudential Financial
384,PEG,Public Service Enterprise Group
385,PTC,PTC
386,PSA,Public Storage
387,PHM,PulteGroup
388,QRVO,Qorvo
389,PWR,Quanta Services
390,QCOM,Qualcomm
391,DGX,Quest Diagnostics
392,RL,Ralph Lauren Corporation
393,RJF,Raymond James
394,RTX,RTX Corporation
395,O,Realty Income
396,REG,Regency Centers
